ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:35954,Renal,"genitourinary system epithelium"
EMAPA:16576,Renal,"genitourinary system mesenchyme"
EMAPA:28251,Renal,"glomerular basement membrane"
EMAPA:30965,Renal,"glomerular basement membrane"
EMAPA:28245,Renal,"glomerular capillary system"
EMAPA:27955,Renal,"glomerular capillary system of maturing glomerular tuft"
EMAPA:28248,Renal,"glomerular mesangium of glomerular tuft"
EMAPA:27961,Renal,"glomerular mesangium of maturing glomerular tuft"
EMAPA:30031,Renal,"glomerular mesangium of maturing renal corpuscle"
EMAPA:28239,Renal,"glomerular tuft"
EMAPA:16857,Renal,"gonad primordium"
EMAPA:16858,Renal,"gonad primordium mesenchyme"
EMAPA:28049,Renal,"immature loop of Henle"
EMAPA:35426,Renal,"immature loop of Henle ascending limb"
EMAPA:35427,Renal,"immature loop of Henle descending limb"
EMAPA:28370,Renal,"inner medullary collecting duct"
EMAPA:31399,Renal,"inner medullary fibroblast"
EMAPA:28364,Renal,"inner medullary interstitium"
EMAPA:28349,Renal,"inner renal medulla"
EMAPA:29675,Renal,"inner stripe of outer medulla"
EMAPA:28212,Renal,"interlobular artery"
EMAPA:28218,Renal,"interlobular vein"
EMAPA:32306,Renal,"intermediate cell layer of dorsal pelvic urethra of female"
EMAPA:32307,Renal,"intermediate cell layer of dorsal pelvic urethra of male"
EMAPA:32299,Renal,"intermediate cell layer of prostatic urethra"
EMAPA:28801,Renal,"intermediate cell layer of ureter"
EMAPA:32305,Renal,"intermediate cell layer of ventral pelvic urethra of female"
EMAPA:32314,Renal,"intermediate cell layer of ventral pelvic urethra of male"
EMAPA:27991,Renal,"juxtaglomerular arteriole"
EMAPA:30449,Renal,"juxtaglomerular complex"
EMAPA:18676,Renal,"kidney calyx"
EMAPA:35459,Renal,"kidney medulla collecting duct"
EMAPA:35461,Renal,"kidney outer medulla peritubular capillary"
EMAPA:17948,Renal,"kidney pelvis"
EMAPA:30088,Renal,"lamina propria of bladder"
EMAPA:32296,Renal,"lamina propria of dorsal pelvic urethra of female"
EMAPA:32311,Renal,"lamina propria of dorsal pelvic urethra of male"
EMAPA:30102,Renal,"lamina propria of fundus"
EMAPA:30116,Renal,"lamina propria of neck"
