ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:35107,"Whole mouse","accessory olfactory bulb external plexiform layer"
EMAPA:35108,"Whole mouse","accessory olfactory bulb glomerular layer"
EMAPA:35109,"Whole mouse","accessory olfactory bulb granule cell layer"
EMAPA:35110,"Whole mouse","accessory olfactory bulb internal plexiform layer"
EMAPA:35111,"Whole mouse","accessory olfactory bulb mitral cell layer"
EMAPA:17265,"Whole mouse","accessory XI nerve"
EMAPA:17159,"Whole mouse","accessory XI nerve"
EMAPA:17266,"Whole mouse","accessory XI nerve cranial component"
EMAPA:17160,"Whole mouse","accessory XI nerve spinal component"
EMAPA:17267,"Whole mouse","accessory XI nerve spinal component"
EMAPA:32789,"Whole mouse","accumbens nucleus"
EMAPA:18346,"Whole mouse","acetabular region"
EMAPA:16982,"Whole mouse","acoustic VIII ganglion"
EMAPA:25119,"Whole mouse",acromion
EMAPA:19166,"Whole mouse","adductor muscle"
EMAPA:17514,"Whole mouse",adenohypophysis
EMAPA:17515,"Whole mouse","adenohypophysis pars anterior"
EMAPA:17516,"Whole mouse","adenohypophysis pars intermedia"
EMAPA:17517,"Whole mouse","adenohypophysis pars tuberalis"
EMAPA:35112,"Whole mouse","adipose tissue"
EMAPA:18427,"Whole mouse","adrenal cortex"
EMAPA:35113,"Whole mouse","adrenal cortex zone"
EMAPA:18426,"Whole mouse","adrenal gland"
EMAPA:35114,"Whole mouse","adrenal gland zona fasciculata"
EMAPA:35115,"Whole mouse","adrenal gland zona glomerulosa"
EMAPA:35116,"Whole mouse","adrenal gland zona reticularis"
EMAPA:18428,"Whole mouse","adrenal medulla"
EMAPA:28826,"Whole mouse","adventitia of bladder"
EMAPA:29765,"Whole mouse","adventitia of caput of epididymis"
EMAPA:29753,"Whole mouse","adventitia of cauda of epididymis"
EMAPA:29933,"Whole mouse","adventitia of cervix uteri"
EMAPA:29759,"Whole mouse","adventitia of corpus of epididymis"
EMAPA:29767,"Whole mouse","adventitia of ductus deferens"
EMAPA:30443,"Whole mouse","adventitia of epididymis"
EMAPA:28831,"Whole mouse","adventitia of fundus"
EMAPA:29939,"Whole mouse","adventitia of lower part of vagina"
EMAPA:30144,"Whole mouse","adventitia of neck"
EMAPA:29775,"Whole mouse","adventitia of seminal vesicle"
EMAPA:28836,"Whole mouse","adventitia of trigone"
EMAPA:29945,"Whole mouse","adventitia of upper part of vagina"
EMAPA:28114,"Whole mouse","adventitia of ureter"
EMAPA:29925,"Whole mouse","adventitia of uterus"
EMAPA:31003,"Whole mouse","adventitia of vagina"
EMAPA:28266,"Whole mouse","afferent arteriole of mature renal corpuscle"
EMAPA:28230,"Whole mouse","afferent arteriole of maturing renal corpuscle"
EMAPA:17581,"Whole mouse","alar columns"
EMAPA:16246,"Whole mouse","alimentary system"
EMAPA:35990,"Whole mouse","alimentary system ectoderm"
EMAPA:35991,"Whole mouse","alimentary system endoderm"
EMAPA:32683,"Whole mouse","alimentary system epithelium"
EMAPA:32886,"Whole mouse","alimentary system mesenchyme"
EMAPA:35117,"Whole mouse","alimentary system smooth muscle"
EMAPA:35994,"Whole mouse","alimentary system vascular element"
EMAPA:28547,"Whole mouse",allantois
EMAPA:16107,"Whole mouse",allantois
EMAPA:31860,"Whole mouse","allantois blood vessel"
EMAPA:31861,"Whole mouse","allantois endothelium"
EMAPA:16264,"Whole mouse","allantois mesenchyme"
EMAPA:16108,"Whole mouse","allantois mesoderm"
EMAPA:32694,"Whole mouse","alveolar duct"
EMAPA:35118,"Whole mouse","alveolar process"
EMAPA:35119,"Whole mouse","alveolar sac"
EMAPA:32805,"Whole mouse","alveolar sulcus"
EMAPA:32692,"Whole mouse","alveolar system"
