NPL_OID,NPL_PERSPECTIVE_FK,NPL_NODE_FK
1194,Urogenital,30104
1195,Urogenital,30105
1196,Urogenital,30106
1197,Urogenital,30107
1198,Urogenital,30108
1199,Urogenital,30109
1200,Urogenital,30110
1201,Urogenital,30111
1202,Urogenital,30112
1203,Urogenital,30113
1204,Urogenital,30114
1205,Urogenital,30115
1206,Urogenital,30116
1207,Urogenital,30117
1208,Urogenital,30118
1209,Urogenital,30119
1210,Urogenital,30120
1211,Urogenital,30121
1212,Urogenital,30122
1213,Urogenital,30123
1214,Urogenital,30124
1215,Urogenital,30125
1216,Urogenital,30126
1217,Urogenital,30127
1218,Urogenital,30128
1219,Urogenital,30129
1220,Urogenital,30130
1221,Urogenital,30131
1222,Urogenital,30132
1223,Urogenital,30133
1224,Urogenital,30134
1225,Urogenital,30135
1226,Urogenital,30136
1227,Urogenital,30137
1228,Urogenital,30138
1229,Urogenital,30139
1230,Urogenital,30140
1231,Urogenital,30141
1232,Urogenital,30142
1233,Urogenital,30143
1234,Urogenital,30144
1235,Urogenital,30145
1236,Urogenital,30146
1237,Urogenital,30147
1238,Urogenital,30148
1239,Urogenital,30149
1240,Urogenital,30150
1241,Urogenital,30151
1242,Urogenital,30152
1243,Urogenital,30153
1244,Urogenital,30154
1245,Urogenital,30155
1246,Urogenital,30156
1247,Urogenital,30157
1248,Urogenital,30158
1249,Urogenital,30159
1250,Urogenital,30160
1251,Urogenital,30161
1252,Urogenital,30162
1253,Urogenital,30163
1254,Urogenital,30164
1255,Urogenital,30165
1256,Urogenital,30166
1257,Urogenital,30167
1258,Urogenital,30169
1259,Urogenital,30170
1260,Urogenital,30171
1261,Urogenital,30173
1262,Urogenital,30174
1263,Urogenital,30175
1264,Urogenital,30176
1265,Urogenital,30177
1266,Urogenital,30178
1267,Urogenital,30179
1268,Urogenital,30180
1269,Urogenital,30181
1270,Urogenital,30182
1271,Urogenital,30183
1272,Urogenital,30184
1273,Urogenital,30185
1274,Urogenital,30186
1275,Urogenital,30187
1276,Urogenital,30188
1277,Urogenital,30189
1278,Urogenital,30190
1279,Urogenital,30191
1280,Urogenital,30192
1281,Urogenital,30193
1282,Urogenital,30194
1283,Urogenital,30195
1284,Urogenital,30196
1285,Urogenital,30197
1286,Urogenital,30198
1287,Urogenital,30199
1288,Urogenital,30200
1289,Urogenital,30201
1290,Urogenital,30202
1291,Urogenital,30203
1292,Urogenital,30204
1293,Urogenital,30205
1294,Urogenital,30206
1295,Urogenital,30207
1296,Urogenital,30208
1297,Urogenital,30209
1298,Urogenital,30210
1299,Urogenital,30211
1300,Urogenital,30212
1301,Urogenital,30213
1302,Urogenital,30214
1303,Urogenital,30215
1304,Urogenital,30216
1305,Urogenital,30217
1306,Urogenital,30218
1307,Urogenital,30219
1308,Urogenital,30220
1309,Urogenital,30221
1310,Urogenital,30222
1311,Urogenital,30223
1312,Urogenital,30224
1313,Urogenital,30225
1314,Urogenital,30226
1315,Urogenital,30227
1316,Urogenital,30228
1317,Urogenital,30229
1318,Urogenital,30230
1319,Urogenital,30231
1320,Urogenital,30232
1321,Urogenital,30233
1322,Urogenital,30234
1323,Urogenital,30235
1324,Urogenital,30236
1325,Urogenital,30237
1326,Urogenital,30238
1327,Urogenital,30239
1328,Urogenital,30240
1329,Urogenital,30241
1330,Urogenital,30242
1331,Urogenital,30243
1332,Urogenital,30244
1333,Urogenital,30245
1334,Urogenital,30246
1335,Urogenital,30247
1336,Urogenital,30248
1337,Urogenital,30249
1338,Urogenital,30250
1339,Urogenital,30251
1340,Urogenital,30252
1341,Urogenital,30253
1342,Urogenital,30254
1343,Urogenital,30255
1344,Urogenital,30256
1345,Urogenital,30257
1346,Urogenital,30258
1347,Urogenital,30259
1348,Urogenital,30260
1349,Urogenital,30261
1350,Urogenital,30262
1351,Urogenital,30263
1352,Urogenital,30264
1353,Urogenital,30265
1354,Urogenital,30266
1355,Urogenital,30267
1356,Urogenital,30268
1357,Urogenital,30269
1358,Urogenital,30270
1359,Urogenital,30271
1360,Urogenital,30272
1361,Urogenital,30273
1362,Urogenital,30274
1363,Urogenital,30275
1364,Urogenital,30276
1365,Urogenital,30277
1366,Urogenital,30278
1367,Urogenital,30279
1368,Urogenital,30280
1369,Urogenital,30281
1370,Urogenital,30282
1371,Urogenital,30283
1372,Urogenital,30284
1373,Urogenital,30292
1374,Urogenital,30293
1375,Urogenital,30294
1376,Urogenital,30295
1377,Urogenital,30296
1378,Urogenital,30297
1379,Urogenital,30298
1380,Urogenital,30299
1381,Urogenital,30300
1382,Urogenital,30301
1383,Urogenital,30302
1384,Urogenital,31624
1385,Urogenital,31625
1386,Urogenital,31626
1387,Urogenital,31627
1388,Urogenital,31628
1389,Urogenital,31629
1390,Urogenital,31630
1391,Urogenital,31631
1392,Urogenital,31632
1393,Urogenital,31633
1394,Urogenital,31634
1395,Urogenital,31635
1396,Urogenital,31636
1397,Urogenital,31637
1398,Urogenital,31638
1399,Urogenital,31639
1400,Urogenital,31640
1401,Urogenital,31641
1402,Urogenital,31642
1403,Urogenital,31643
1404,Urogenital,31644
1405,Urogenital,31645
1406,Urogenital,31646
1407,Urogenital,31647
1408,Urogenital,31648
1409,Urogenital,31649
1410,Urogenital,31650
1411,Urogenital,31651
1412,Urogenital,31652
1413,Urogenital,31653
1414,Urogenital,31654
1415,Urogenital,31655
1416,Urogenital,31656
1417,Urogenital,31657
1418,Urogenital,31658
1419,Urogenital,31659
1420,Urogenital,31660
1421,Urogenital,31661
1422,Urogenital,31662
1423,Urogenital,31663
1424,Urogenital,31664
1425,Urogenital,31665
1426,Urogenital,31666
1427,Urogenital,31667
1428,Urogenital,31668
1429,Urogenital,31669
1430,Urogenital,31670
1431,Urogenital,31671
1432,Urogenital,31672
1433,Urogenital,31673
1434,Urogenital,31674
1435,Urogenital,31675
1436,Urogenital,31676
1437,Urogenital,31677
1438,Urogenital,31678
1439,Urogenital,31679
1440,Urogenital,31680
1441,Urogenital,31681
1442,Urogenital,31682
1443,Urogenital,31683
1444,Urogenital,31684
1445,Urogenital,31685
1446,Urogenital,31686
1447,Urogenital,31687
1448,Urogenital,31688
1449,Urogenital,31689
1450,Urogenital,31690
1451,Urogenital,31691
1452,Urogenital,31692
1453,Urogenital,31693
1454,Urogenital,31694
1455,Urogenital,31695
1456,Urogenital,31696
1457,Urogenital,31697
1458,Urogenital,31698
1459,Urogenital,31699
1460,Urogenital,31700
1461,Urogenital,31701
1462,Urogenital,31702
1463,Urogenital,31703
1464,Urogenital,31704
1465,Urogenital,31705
1466,Urogenital,31706
1467,Urogenital,31707
1468,Urogenital,31708
1469,Urogenital,31709
1470,Urogenital,31712
1471,Urogenital,31718
1472,Urogenital,31719
1473,Urogenital,31720
1474,Urogenital,31721
1475,Urogenital,31722
1476,Urogenital,31723
1477,Urogenital,31725
1478,Urogenital,32606
1479,Urogenital,32607
1480,Urogenital,32608
1481,Urogenital,32609
1482,Urogenital,32610
1483,Urogenital,32611
1484,Urogenital,32612
1485,Urogenital,32613
1486,Urogenital,32614
1487,Urogenital,32615
1488,Urogenital,32616
1489,Urogenital,32617
1490,Urogenital,32618
1491,Urogenital,32619
1492,Urogenital,32620
1493,Urogenital,32621
1494,Urogenital,32622
1495,Urogenital,32623
1496,Urogenital,32624
1497,Urogenital,32625
1498,Urogenital,32626
1499,Urogenital,32627
1500,Urogenital,32628
1501,Urogenital,32629
1502,Urogenital,32630
1503,Urogenital,32631
1504,Urogenital,32632
1505,Urogenital,32633
1506,Urogenital,32634
1507,Urogenital,32635
1508,Urogenital,32636
1509,Urogenital,32637
1510,Urogenital,32638
1511,Urogenital,32639
1512,Urogenital,32640
1513,Urogenital,32641
1514,Urogenital,32642
1515,Urogenital,32643
1516,Urogenital,32644
1517,Urogenital,32645
1518,Urogenital,32646
1519,Urogenital,32647
1520,Urogenital,32648
1521,Urogenital,32649
1522,Urogenital,32650
1523,Urogenital,32651
1524,Urogenital,32652
1525,Urogenital,32653
1526,Urogenital,32654
1527,Urogenital,32655
1528,Urogenital,32656
1529,Urogenital,32657
1530,Urogenital,32658
1531,Urogenital,32659
1532,Urogenital,32660
1533,Urogenital,32661
1534,Urogenital,32662
1535,Urogenital,32663
1536,Urogenital,32664
1537,Urogenital,32665
1538,Urogenital,32666
1539,Urogenital,32667
1540,Urogenital,32668
1541,Urogenital,32669
1542,Urogenital,32670
1543,Urogenital,32671
1544,Urogenital,32672
1545,Urogenital,32673
1546,Urogenital,32674
1547,Urogenital,32675
1548,Urogenital,32676
1549,Urogenital,32677
1550,Urogenital,32678
1551,Urogenital,32679
1552,Urogenital,32680
1553,Urogenital,32681
1554,Urogenital,32682
1555,Urogenital,32683
1556,Urogenital,32684
1557,Urogenital,32685
1558,Urogenital,32686
1559,Urogenital,32688
1560,Urogenital,33542
1561,Urogenital,33543
1562,Urogenital,33544
1563,Urogenital,33545
1564,Urogenital,33546
1565,Urogenital,33547
1566,Urogenital,33548
1567,Urogenital,33549
1568,Urogenital,33550
1569,Urogenital,33551
1570,Urogenital,33552
1571,Urogenital,33553
1572,Urogenital,33554
1573,Urogenital,33555
1574,Urogenital,33556
1575,Urogenital,33557
1576,Urogenital,33558
1577,Urogenital,33559
1578,Urogenital,33560
1579,Urogenital,33561
1580,Urogenital,33562
1581,Urogenital,33563
1582,Urogenital,33564
1583,Urogenital,33565
1584,Urogenital,33566
1585,Urogenital,33567
1586,Urogenital,33568
1587,Urogenital,33569
1588,Urogenital,33570
1589,Urogenital,33571
1590,Urogenital,33572
1591,Urogenital,33573
1592,Urogenital,33574
1593,Urogenital,33575
1594,Urogenital,33576
1595,Urogenital,33577
1596,Urogenital,33578
1597,Urogenital,33579
1598,Urogenital,33580
1599,Urogenital,33581
1600,Urogenital,33582
1601,Urogenital,33583
1602,Urogenital,33584
1603,Urogenital,33585
1604,Urogenital,33586
1605,Urogenital,33587
1606,Urogenital,33588
1607,Urogenital,33589
1608,Urogenital,33590
1609,Urogenital,33591
1610,Urogenital,33592
1611,Urogenital,33593
1612,Urogenital,33594
1613,Urogenital,33595
1614,Urogenital,33596
1615,Urogenital,33597
1616,Urogenital,33598
1617,Whole mouse,10004
1618,Whole mouse,10012
1619,Whole mouse,1002
1620,Whole mouse,10020
1621,Whole mouse,10028
1622,Whole mouse,10035
1623,Whole mouse,10042
1624,Whole mouse,1005
1625,Whole mouse,10050
1626,Whole mouse,10057
1627,Whole mouse,10065
1628,Whole mouse,10073
1629,Whole mouse,10080
1630,Whole mouse,10087
1631,Whole mouse,1009
1632,Whole mouse,10095
1633,Whole mouse,10102
1634,Whole mouse,10109
1635,Whole mouse,10114
1636,Whole mouse,10119
1637,Whole mouse,1012
1638,Whole mouse,10124
1639,Whole mouse,10129
1640,Whole mouse,10134
1641,Whole mouse,10139
1642,Whole mouse,10144
1643,Whole mouse,10149
1644,Whole mouse,10154
1645,Whole mouse,10159
1646,Whole mouse,10164
1647,Whole mouse,10171
1648,Whole mouse,10176
1649,Whole mouse,10181
1650,Whole mouse,10187
1651,Whole mouse,10193
1652,Whole mouse,10199
1653,Whole mouse,10205
1654,Whole mouse,10218
1655,Whole mouse,10222
1656,Whole mouse,10228
1657,Whole mouse,10233
1658,Whole mouse,1024
1659,Whole mouse,10240
1660,Whole mouse,10244
1661,Whole mouse,10248
1662,Whole mouse,10252
1663,Whole mouse,10258
1664,Whole mouse,10262
1665,Whole mouse,10265
1666,Whole mouse,10268
1667,Whole mouse,10271
1668,Whole mouse,10274
1669,Whole mouse,10277
1670,Whole mouse,10281
1671,Whole mouse,10285
1672,Whole mouse,10289
1673,Whole mouse,10295
1674,Whole mouse,10299
1675,Whole mouse,10302
1676,Whole mouse,10305
1677,Whole mouse,10308
1678,Whole mouse,10311
1679,Whole mouse,10324
1680,Whole mouse,10329
1681,Whole mouse,10336
1682,Whole mouse,10346
1683,Whole mouse,10351
1684,Whole mouse,10356
1685,Whole mouse,1036
1686,Whole mouse,10361
1687,Whole mouse,10368
1688,Whole mouse,10375
1689,Whole mouse,10381
1690,Whole mouse,10389
1691,Whole mouse,10396
1692,Whole mouse,10400
1693,Whole mouse,10407
1694,Whole mouse,10415
1695,Whole mouse,10419
1696,Whole mouse,10422
1697,Whole mouse,10428
1698,Whole mouse,10434
1699,Whole mouse,10440
1700,Whole mouse,10446
1701,Whole mouse,10450
1702,Whole mouse,10454
1703,Whole mouse,10462
1704,Whole mouse,10468
1705,Whole mouse,1047
1706,Whole mouse,10473
1707,Whole mouse,10478
1708,Whole mouse,10482
1709,Whole mouse,10487
1710,Whole mouse,10492
1711,Whole mouse,10510
1712,Whole mouse,10513
1713,Whole mouse,10516
1714,Whole mouse,10519
1715,Whole mouse,10523
1716,Whole mouse,10527
1717,Whole mouse,10531
1718,Whole mouse,10534
1719,Whole mouse,10537
1720,Whole mouse,10541
1721,Whole mouse,10546
1722,Whole mouse,10550
1723,Whole mouse,10560
1724,Whole mouse,10563
1725,Whole mouse,10577
1726,Whole mouse,1058
1727,Whole mouse,10591
1728,Whole mouse,10598
1729,Whole mouse,10605
1730,Whole mouse,10612
1731,Whole mouse,10621
1732,Whole mouse,10624
1733,Whole mouse,10627
1734,Whole mouse,1063
1735,Whole mouse,10630
1736,Whole mouse,10635
1737,Whole mouse,10642
1738,Whole mouse,10649
1739,Whole mouse,10656
1740,Whole mouse,10665
1741,Whole mouse,10674
1742,Whole mouse,10683
1743,Whole mouse,10692
1744,Whole mouse,10701
1745,Whole mouse,1071
1746,Whole mouse,10710
1747,Whole mouse,10716
1748,Whole mouse,10727
1749,Whole mouse,10732
1750,Whole mouse,10737
1751,Whole mouse,10741
1752,Whole mouse,10745
1753,Whole mouse,10756
1754,Whole mouse,1076
1755,Whole mouse,10764
1756,Whole mouse,10773
1757,Whole mouse,10782
1758,Whole mouse,10791
1759,Whole mouse,10794
1760,Whole mouse,10797
1761,Whole mouse,10800
1762,Whole mouse,10805
1763,Whole mouse,10816
1764,Whole mouse,10824
1765,Whole mouse,10832
1766,Whole mouse,10840
1767,Whole mouse,10845
1768,Whole mouse,10855
1769,Whole mouse,10860
1770,Whole mouse,10865
1771,Whole mouse,10869
1772,Whole mouse,10873
1773,Whole mouse,10881
1774,Whole mouse,10889
1775,Whole mouse,10897
1776,Whole mouse,10902
1777,Whole mouse,10912
1778,Whole mouse,10917
1779,Whole mouse,10922
1780,Whole mouse,10926
1781,Whole mouse,10930
1782,Whole mouse,10938
1783,Whole mouse,1094
1784,Whole mouse,10946
1785,Whole mouse,10954
1786,Whole mouse,10959
1787,Whole mouse,10969
1788,Whole mouse,10974
1789,Whole mouse,10979
1790,Whole mouse,10983
1791,Whole mouse,10987
1792,Whole mouse,10995
1793,Whole mouse,11003
1794,Whole mouse,11011
1795,Whole mouse,11019
1796,Whole mouse,11024
1797,Whole mouse,11034
1798,Whole mouse,11039
1799,Whole mouse,11044
1800,Whole mouse,11048
1801,Whole mouse,11052
1802,Whole mouse,11066
1803,Whole mouse,11080
1804,Whole mouse,11085
1805,Whole mouse,11088
1806,Whole mouse,11091
1807,Whole mouse,11094
1808,Whole mouse,11099
1809,Whole mouse,11112
1810,Whole mouse,1112
1811,Whole mouse,11125
1812,Whole mouse,11138
1813,Whole mouse,11153
1814,Whole mouse,11159
1815,Whole mouse,11172
1816,Whole mouse,11185
1817,Whole mouse,11198
1818,Whole mouse,112
1819,Whole mouse,11213
1820,Whole mouse,11225
1821,Whole mouse,1123
1822,Whole mouse,11237
1823,Whole mouse,11249
1824,Whole mouse,11261
1825,Whole mouse,11268
1826,Whole mouse,11272
1827,Whole mouse,11276
1828,Whole mouse,11285
1829,Whole mouse,11294
1830,Whole mouse,11303
1831,Whole mouse,11312
1832,Whole mouse,11319
1833,Whole mouse,11322
1834,Whole mouse,11329
1835,Whole mouse,11337
1836,Whole mouse,1134
1837,Whole mouse,11344
1838,Whole mouse,11351
1839,Whole mouse,11357
1840,Whole mouse,11361
1841,Whole mouse,11369
1842,Whole mouse,1137
1843,Whole mouse,11377
1844,Whole mouse,11384
1845,Whole mouse,11392
1846,Whole mouse,11399
1847,Whole mouse,11412
1848,Whole mouse,11425
1849,Whole mouse,11430
1850,Whole mouse,11443
1851,Whole mouse,11456
1852,Whole mouse,11463
1853,Whole mouse,1147
1854,Whole mouse,11470
1855,Whole mouse,11477
1856,Whole mouse,11490
1857,Whole mouse,11497
1858,Whole mouse,115
1859,Whole mouse,11504
1860,Whole mouse,11517
1861,Whole mouse,1152
1862,Whole mouse,11521
1863,Whole mouse,11525
1864,Whole mouse,11531
1865,Whole mouse,11536
1866,Whole mouse,11539
1867,Whole mouse,11546
1868,Whole mouse,11553
1869,Whole mouse,1156
1870,Whole mouse,11560
1871,Whole mouse,11567
1872,Whole mouse,11574
1873,Whole mouse,11580
1874,Whole mouse,11587
1875,Whole mouse,11594
1876,Whole mouse,1160
1877,Whole mouse,11601
1878,Whole mouse,11608
1879,Whole mouse,11615
1880,Whole mouse,11622
1881,Whole mouse,11629
1882,Whole mouse,11636
1883,Whole mouse,11643
1884,Whole mouse,1165
1885,Whole mouse,11650
1886,Whole mouse,11661
1887,Whole mouse,11673
1888,Whole mouse,11683
1889,Whole mouse,1170
1890,Whole mouse,11719
1891,Whole mouse,11747
1892,Whole mouse,1175
1893,Whole mouse,11750
1894,Whole mouse,11754
1895,Whole mouse,11757
1896,Whole mouse,11760
1897,Whole mouse,11764
1898,Whole mouse,11768
1899,Whole mouse,11772
1900,Whole mouse,11775
1901,Whole mouse,11779
1902,Whole mouse,1180
1903,Whole mouse,1185
1904,Whole mouse,119
1905,Whole mouse,1190
1906,Whole mouse,11912
1907,Whole mouse,11915
1908,Whole mouse,11922
1909,Whole mouse,11928
1910,Whole mouse,11932
1911,Whole mouse,11936
1912,Whole mouse,11940
1913,Whole mouse,11944
1914,Whole mouse,11947
1915,Whole mouse,11951
1916,Whole mouse,11955
1917,Whole mouse,11959
1918,Whole mouse,11962
1919,Whole mouse,11965
1920,Whole mouse,11969
1921,Whole mouse,11973
1922,Whole mouse,11976
1923,Whole mouse,11979
1924,Whole mouse,11982
1925,Whole mouse,11985
1926,Whole mouse,11988
1927,Whole mouse,11991
1928,Whole mouse,11994
1929,Whole mouse,11997
1930,Whole mouse,12004
1931,Whole mouse,12008
1932,Whole mouse,12023
1933,Whole mouse,12039
1934,Whole mouse,12048
1935,Whole mouse,12057
1936,Whole mouse,1207
1937,Whole mouse,12074
1938,Whole mouse,12081
1939,Whole mouse,12088
1940,Whole mouse,12108
1941,Whole mouse,12117
1942,Whole mouse,12124
1943,Whole mouse,1213
1944,Whole mouse,12131
1945,Whole mouse,12138
1946,Whole mouse,12146
1947,Whole mouse,12153
1948,Whole mouse,12161
1949,Whole mouse,12169
1950,Whole mouse,12177
1951,Whole mouse,1218
1952,Whole mouse,12184
1953,Whole mouse,12191
1954,Whole mouse,12199
1955,Whole mouse,12207
1956,Whole mouse,12214
1957,Whole mouse,1222
1958,Whole mouse,12221
1959,Whole mouse,12228
1960,Whole mouse,12235
1961,Whole mouse,12242
1962,Whole mouse,12250
1963,Whole mouse,12257
1964,Whole mouse,1226
1965,Whole mouse,12264
1966,Whole mouse,12272
1967,Whole mouse,12280
1968,Whole mouse,12287
1969,Whole mouse,12295
1970,Whole mouse,12302
1971,Whole mouse,12306
1972,Whole mouse,12317
1973,Whole mouse,12322
1974,Whole mouse,12327
1975,Whole mouse,1233
1976,Whole mouse,12341
1977,Whole mouse,12345
1978,Whole mouse,12349
1979,Whole mouse,12354
1980,Whole mouse,12358
1981,Whole mouse,12362
1982,Whole mouse,12367
1983,Whole mouse,1237
1984,Whole mouse,12372
1985,Whole mouse,12376
1986,Whole mouse,12380
1987,Whole mouse,12383
1988,Whole mouse,12386
1989,Whole mouse,12389
1990,Whole mouse,12392
1991,Whole mouse,12397
1992,Whole mouse,12402
1993,Whole mouse,12406
1994,Whole mouse,1241
1995,Whole mouse,12410
1996,Whole mouse,12414
1997,Whole mouse,12419
1998,Whole mouse,12424
1999,Whole mouse,12428
2000,Whole mouse,12433
2001,Whole mouse,12437
2002,Whole mouse,12441
2003,Whole mouse,12445
2004,Whole mouse,12449
2005,Whole mouse,12453
2006,Whole mouse,12460
2007,Whole mouse,12467
2008,Whole mouse,12473
2009,Whole mouse,12479
2010,Whole mouse,1248
2011,Whole mouse,12483
2012,Whole mouse,12487
2013,Whole mouse,12493
2014,Whole mouse,12497
2015,Whole mouse,125
2016,Whole mouse,12515
2017,Whole mouse,12528
2018,Whole mouse,12539
2019,Whole mouse,12542
2020,Whole mouse,12545
2021,Whole mouse,12548
2022,Whole mouse,12551
2023,Whole mouse,12557
2024,Whole mouse,12563
2025,Whole mouse,1258
2026,Whole mouse,12583
2027,Whole mouse,12600
2028,Whole mouse,12604
2029,Whole mouse,12608
2030,Whole mouse,12613
2031,Whole mouse,12622
2032,Whole mouse,12628
2033,Whole mouse,12640
2034,Whole mouse,12644
2035,Whole mouse,12649
2036,Whole mouse,12653
2037,Whole mouse,12657
2038,Whole mouse,12662
2039,Whole mouse,12667
2040,Whole mouse,12676
2041,Whole mouse,1268
2042,Whole mouse,12715
2043,Whole mouse,12728
2044,Whole mouse,12734
2045,Whole mouse,1276
2046,Whole mouse,12780
2047,Whole mouse,12794
2048,Whole mouse,1282
2049,Whole mouse,12832
2050,Whole mouse,12839
2051,Whole mouse,12846
2052,Whole mouse,12853
2053,Whole mouse,12860
2054,Whole mouse,12867
2055,Whole mouse,12874
2056,Whole mouse,1288
2057,Whole mouse,12881
2058,Whole mouse,12888
2059,Whole mouse,12902
2060,Whole mouse,12909
2061,Whole mouse,12916
2062,Whole mouse,12923
2063,Whole mouse,12930
2064,Whole mouse,12936
2065,Whole mouse,1294
2066,Whole mouse,12942
2067,Whole mouse,12954
2068,Whole mouse,12958
2069,Whole mouse,12961
2070,Whole mouse,12976
2071,Whole mouse,12979
2072,Whole mouse,12983
2073,Whole mouse,12996
2074,Whole mouse,12999
2075,Whole mouse,13006
2076,Whole mouse,13014
2077,Whole mouse,13019
2078,Whole mouse,1302
2079,Whole mouse,13026
2080,Whole mouse,13031
2081,Whole mouse,13060
2082,Whole mouse,13077
2083,Whole mouse,1308
2084,Whole mouse,13083
2085,Whole mouse,13089
2086,Whole mouse,13098
2087,Whole mouse,13108
2088,Whole mouse,13112
2089,Whole mouse,13116
2090,Whole mouse,13120
2091,Whole mouse,13125
2092,Whole mouse,13133
2093,Whole mouse,1314
2094,Whole mouse,13141
2095,Whole mouse,13145
2096,Whole mouse,13170
2097,Whole mouse,13177
2098,Whole mouse,13184
2099,Whole mouse,1320
2100,Whole mouse,13228
2101,Whole mouse,13232
2102,Whole mouse,13236
2103,Whole mouse,13240
2104,Whole mouse,13247
2105,Whole mouse,13255
2106,Whole mouse,13262
2107,Whole mouse,13269
2108,Whole mouse,1328
2109,Whole mouse,133
2110,Whole mouse,13306
2111,Whole mouse,13316
2112,Whole mouse,13320
2113,Whole mouse,13325
2114,Whole mouse,13330
2115,Whole mouse,13335
2116,Whole mouse,13339
2117,Whole mouse,1334
2118,Whole mouse,13342
2119,Whole mouse,13346
2120,Whole mouse,13350
2121,Whole mouse,13382
2122,Whole mouse,13391
2123,Whole mouse,1340
2124,Whole mouse,13400
2125,Whole mouse,13418
2126,Whole mouse,13428
2127,Whole mouse,13436
2128,Whole mouse,13443
2129,Whole mouse,1346
2130,Whole mouse,13473
2131,Whole mouse,13477
2132,Whole mouse,13486
2133,Whole mouse,13501
2134,Whole mouse,13508
2135,Whole mouse,13515
2136,Whole mouse,13521
2137,Whole mouse,13525
2138,Whole mouse,13529
2139,Whole mouse,13534
2140,Whole mouse,13539
2141,Whole mouse,1354
2142,Whole mouse,13545
2143,Whole mouse,13550
2144,Whole mouse,13555
2145,Whole mouse,13560
2146,Whole mouse,13565
2147,Whole mouse,13569
2148,Whole mouse,13573
2149,Whole mouse,13578
2150,Whole mouse,13594
2151,Whole mouse,1360
2152,Whole mouse,13600
2153,Whole mouse,13606
2154,Whole mouse,13614
2155,Whole mouse,13620
2156,Whole mouse,13626
2157,Whole mouse,13630
2158,Whole mouse,13637
2159,Whole mouse,13642
2160,Whole mouse,13646
2161,Whole mouse,13652
2162,Whole mouse,13657
2163,Whole mouse,1366
2164,Whole mouse,13662
2165,Whole mouse,13667
2166,Whole mouse,13672
2167,Whole mouse,13677
2168,Whole mouse,13686
2169,Whole mouse,13708
2170,Whole mouse,1372
2171,Whole mouse,13736
2172,Whole mouse,13743
2173,Whole mouse,1379
2174,Whole mouse,13828
2175,Whole mouse,1385
2176,Whole mouse,13854
2177,Whole mouse,13860
2178,Whole mouse,13865
2179,Whole mouse,13870
2180,Whole mouse,1391
2181,Whole mouse,13914
2182,Whole mouse,13919
2183,Whole mouse,13924
2184,Whole mouse,13929
2185,Whole mouse,13934
2186,Whole mouse,13958
2187,Whole mouse,13961
2188,Whole mouse,13967
2189,Whole mouse,1397
2190,Whole mouse,13970
2191,Whole mouse,13973
2192,Whole mouse,13976
2193,Whole mouse,13979
2194,Whole mouse,13989
2195,Whole mouse,14004
2196,Whole mouse,14020
2197,Whole mouse,14025
2198,Whole mouse,14031
2199,Whole mouse,14036
2200,Whole mouse,1404
2201,Whole mouse,14041
2202,Whole mouse,14045
2203,Whole mouse,14050
2204,Whole mouse,14053
2205,Whole mouse,14058
2206,Whole mouse,14064
2207,Whole mouse,14070
2208,Whole mouse,14075
2209,Whole mouse,14080
2210,Whole mouse,14085
2211,Whole mouse,14089
2212,Whole mouse,14094
2213,Whole mouse,14099
2214,Whole mouse,1410
2215,Whole mouse,14104
2216,Whole mouse,14109
2217,Whole mouse,14113
2218,Whole mouse,14118
2219,Whole mouse,14123
2220,Whole mouse,14128
2221,Whole mouse,14133
2222,Whole mouse,14137
2223,Whole mouse,14142
2224,Whole mouse,14147
2225,Whole mouse,14152
2226,Whole mouse,14157
2227,Whole mouse,1416
2228,Whole mouse,14161
2229,Whole mouse,14166
2230,Whole mouse,14171
2231,Whole mouse,14176
2232,Whole mouse,14181
2233,Whole mouse,14185
2234,Whole mouse,14190
2235,Whole mouse,14195
2236,Whole mouse,14200
2237,Whole mouse,14205
2238,Whole mouse,14209
2239,Whole mouse,14214
2240,Whole mouse,14219
2241,Whole mouse,1422
2242,Whole mouse,14224
2243,Whole mouse,14229
2244,Whole mouse,14233
2245,Whole mouse,14238
2246,Whole mouse,14243
2247,Whole mouse,14248
2248,Whole mouse,14253
2249,Whole mouse,14257
2250,Whole mouse,14262
2251,Whole mouse,14266
2252,Whole mouse,14269
2253,Whole mouse,14272
2254,Whole mouse,14276
2255,Whole mouse,14279
2256,Whole mouse,14282
2257,Whole mouse,14285
2258,Whole mouse,14288
2259,Whole mouse,1429
2260,Whole mouse,14291
2261,Whole mouse,14294
2262,Whole mouse,14297
2263,Whole mouse,14301
2264,Whole mouse,14304
2265,Whole mouse,14308
2266,Whole mouse,14312
2267,Whole mouse,14317
2268,Whole mouse,14322
2269,Whole mouse,14327
2270,Whole mouse,14331
2271,Whole mouse,14335
2272,Whole mouse,14339
2273,Whole mouse,14343
2274,Whole mouse,14347
2275,Whole mouse,1435
2276,Whole mouse,14351
2277,Whole mouse,14355
2278,Whole mouse,14359
2279,Whole mouse,14364
2280,Whole mouse,14369
2281,Whole mouse,14374
2282,Whole mouse,14378
2283,Whole mouse,14382
2284,Whole mouse,14386
2285,Whole mouse,14393
2286,Whole mouse,14401
2287,Whole mouse,14407
2288,Whole mouse,1441
2289,Whole mouse,14410
2290,Whole mouse,14413
2291,Whole mouse,14416
2292,Whole mouse,14424
2293,Whole mouse,14432
2294,Whole mouse,14440
2295,Whole mouse,14444
2296,Whole mouse,14448
2297,Whole mouse,14452
2298,Whole mouse,14456
2299,Whole mouse,14461
2300,Whole mouse,1447
